Source,Target,Weight,Type
Н.И.Ахвердов,П.И.Богданович,1,directed
А.Д.Байбаков,А.А.Барсов,1,directed
А.Д.Кантемир,А.К.Барсов,1,directed
А.Д.Кантемир,С.С.Волчков,1,directed
А.Д.Кантемир,И.И.Ильинский,1,directed
А.Д.Кантемир,Ф.Кролик,1,directed
А.Д.Кантемир,М.В.Ломоносов,1,directed
А.Д.Кантемир,Е.Прокопович,1,directed
А.Д.Кантемир,А.П.Сумароков,1,directed
А.Д.Кантемир,В.К.Тредиаковский,1,directed
П.М.Карабанов,А.А.Барсов,1,directed
П.М.Карабанов,И.И.Виноградов,1,directed
П.М.Карабанов,Д.П.Горчаков,1,directed
П.М.Карабанов,Г.Р.Державин,1,directed
П.М.Карабанов,С.Е.Десницкий,1,directed
П.М.Карабанов,И.И.Дмитриев,1,directed
П.М.Карабанов,ЕкатеринаII,1,directed
П.М.Карабанов,Н.М.Карамзин,1,directed
П.М.Карабанов,П.Г.Левшин,1,directed
П.М.Карабанов,А.А.Нартов,1,directed
П.М.Карабанов,А.С.Никольский,1,directed
П.М.Карабанов,А.А.Палицын,1,directed
П.М.Карабанов,М.И.Попов,1,directed
П.М.Карабанов,А.Н.Радищев,1,directed
П.М.Карабанов,В.Г.Рубан,1,directed
П.М.Карабанов,М.М.Херасков,1,directed
Н.Карандашов,И.Г.Бакмейстер,1,directed
Ф.В.Каржавин,Е.Н.Каржавин,1,directed
Н.Г.Карин,Ф.Г.Карин,1,directed
П.Кохановский,А.Горка,1,directed
П.Кохановский,Ф.Кролик,1,directed
Н.А.Краевич,И.В.Лопухин,1,directed
Н.А.Краевич,Н.И.Новиков,1,directed
П.Крайский,И.Блонницкий,1,directed
П.Крайский,М.В.Ломоносов,1,directed
П.Крайский,Н.И.Новиков,1,directed
В.И.Крамаренков,С.М.Козьмин,1,directed
В.И.Крамаренков,М.В.Ломоносов,1,directed
В.И.Крамаренков,В.Г.Рубан,1,directed
В.И.Крамаренков,А.П.Сумароков,1,directed
И.Краснопольский,П.И.Богданович,1,directed
Н.С.Краснопольский,Г.Р.Державин,1,directed
Н.С.Краснопольский,И.А.Дмитревский,1,directed
Н.С.Краснопольский,Н.С.Ильинский,1,directed
Н.С.Краснопольский,В.В.Капнист,1,directed
Н.С.Краснопольский,А.И.Клушин,1,directed
Н.С.Краснопольский,И.П.Степанов,1,directed
С.П.Крашенинников,С.С.Волчков,1,directed
С.П.Крашенинников,Г.Ф.Дандоло,1,directed
С.П.Крашенинников,Г.Р.Державин,1,directed
С.П.Крашенинников,Н.М.Карамзин,1,directed
С.П.Крашенинников,М.В.Ломоносов,1,directed
С.П.Крашенинников,Н.И.Новиков,1,directed
С.П.Крашенинников,Н.И.Попов,1,directed
С.П.Крашенинников,А.П.Сумароков,1,directed
С.П.Крашенинников,В.К.Тредиаковский,1,directed
С.П.Крашенинников,И.В.Шишкин,1,directed
П.Н.Крекшин,И.Н.Болтин,1,directed
П.Н.Крекшин,И.И.Голиков,1,directed
П.Н.Крекшин,ЕкатеринаII,1,directed
П.Н.Крекшин,М.В.Ломоносов,1,directed
П.Н.Крекшин,А.И.Мусин-Пушкин,1,directed
П.Н.Крекшин,В.Н.Татищев,1,directed
П.Н.Крекшин,В.К.Тредиаковский,1,directed
П.Н.Крекшин,Ф.О.Туманский,1,directed
П.Н.Крекшин,М.М.Щербатов,1,directed
И.Кременецкий,Е.Прокопович,1,directed
В.В.Крестинин,И.И.Лепехин,1,directed
В.В.Крестинин,Н.И.Новиков,1,directed
Ф.В.Кречетов,С.К.Вязмитинов,1,directed
Ф.В.Кречетов,Е.Р.Дашкова,1,directed
Ф.В.Кречетов,ЕкатеринаII,1,directed
Ф.В.Кречетов,А.Н.Радищев,1,directed
И.Кречетовский,Г.Ф.Бужинский,1,directed
Г.А.Криновский,ЕкатеринаII,1,directed
Г.А.Криновский,Н.М.Карамзин,1,directed
Г.А.Криновский,П.Г.Левшин,1,directed
Г.А.Криновский,М.В.Ломоносов,1,directed
Г.А.Криновский,А.П.Сумароков,1,directed
Г.А.Криновский,И.И.Шувалов,1,directed
Ф.Кролик,А.Горка,1,directed
Ф.Кролик,А.Д.Кантемир,1,directed
Ф.Кролик,Ф.Л.Лопатинский,1,directed
Ф.Кролик,Е.Прокопович,1,directed
И.И.Кропотов,В.Е.Адодуров,1,directed
И.И.Кропотов,М.И.Веревкин,1,directed
И.И.Кропотов,ЕкатеринаII,1,directed
И.И.Кропотов,П.Е.Екимов,1,directed
И.И.Кропотов,И.И.Мелиссино,1,directed
И.И.Кропотов,Н.И.Новиков,1,directed
И.И.Кропотов,С.А.Порошин,1,directed
И.И.Кропотов,А.П.Сумароков,1,directed
